,,,,,,,,
"1008 Стрейч-атлас 150см (31) баклажановый, м",5.00 $,USD,"Красивая, плотная ткань. Хорошо тянется, смотрится дорого и отлично садится по фигуре. Лицевая сторона выделяется блеском, что придает изделиям нарядности. Преимуществом также является то, что ткань не мнется и не садится после стирки. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1008-strejch-atlas-150sm-31-baklazhanovyj-m,1008-strejch-atlas-150sm-31-baklazhanovyj-m.jpeg,http://tkani.ukrchic.com/files/products/66164913-a01f-11e5-84a6-a45d36c4a9b8.800x600.jpeg
"1008 Стрейч-атлас 150см (34) фиолетовый, м",5.00 $,USD,"Красивая, плотная ткань. Хорошо тянется, смотрится дорого и отлично садится по фигуре. Лицевая сторона выделяется блеском, что придает изделиям нарядности. Преимуществом также является то, что ткань не мнется и не садится после стирки. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1008-strejch-atlas-150sm-34-fioletovyj-m,1008-strejch-atlas-150sm-34-fioletovyj-m.jpeg,http://tkani.ukrchic.com/files/products/66164916-a01f-11e5-84a6-a45d36c4a9b8.800x600.jpeg
"1008 Стрейч-атлас 150см (43) красный, м",5.00 $,USD,"Красивая, плотная ткань. Хорошо тянется, смотрится дорого и отлично садится по фигуре. Лицевая сторона выделяется блеском, что придает изделиям нарядности. Преимуществом также является то, что ткань не мнется и не садится после стирки. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1008-strejch-atlas-150sm-43-krasnyj-m,1008-strejch-atlas-150sm-43-krasnyj-m.jpeg,http://tkani.ukrchic.com/files/products/66164919-a01f-11e5-84a6-a45d36c4a9b8.800x600.jpeg
"1008 Стрейч-атлас 150см (47) персиковый, м",5.00 $,USD,"Красивая, плотная ткань. Хорошо тянется, смотрится дорого и отлично садится по фигуре. Лицевая сторона выделяется блеском, что придает изделиям нарядности. Преимуществом также является то, что ткань не мнется и не садится после стирки. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1008-strejch-atlas-150sm-47-persikovyj-m,1008-strejch-atlas-150sm-47-persikovyj-m.jpeg,http://tkani.ukrchic.com/files/products/6616491c-a01f-11e5-84a6-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (02) черный, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-02-chernyj-m,1205-krep-shifon-150sm-02-chernyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193c0-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (03) молочный, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвет - молочный. Ширина 1,5м.",Ткани,Ткани для свадебных платьев,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-03-molochnyj-m,1205-krep-shifon-150sm-03-molochnyj-m.jpeg,http://tkani.ukrchic.com/files/products/dsc04608.800x600.jpg
"1205 Креп-шифон 150см (04) темно-фиолетовый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-04-temno-fioletovyj-m,1205-krep-shifon-150sm-04-temno-fioletovyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193d8-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (06) голубой, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-06-goluboj-m,1205-krep-shifon-150sm-06-goluboj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193cc-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (08) белый, м ",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвет - белый. Ширина 1,5м.",Ткани,Ткани для свадебных платьев,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-08-belyj-m-,1205-krep-shifon-150sm-08-belyj-m-.jpeg,http://tkani.ukrchic.com/files/products/dsc04595.800x600.jpg
"1205 Креп-шифон 150см (10) желтый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-10-zheltyj-m,1205-krep-shifon-150sm-10-zheltyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193c3-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
