Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
175272,"Картридж для фильтра Ecosoft 4,5""х10"" со спрессованным активированным углем CHVCB4510ECO",,,r,479,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-45h10-z-spresovanim-aktivovanim-vugllyam-chvcb4510eco-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-45h10-z-spresovanim-aktivovanim-vugllyam-chvcb4510eco,175272,,,9002,,,,,,,Назначение,,для магистрального фильтра,Эффективная очистка,,от хлора / от органических соединений / от механических загрязнений,Размер картриджа,,"4,5 x 10","Срок службы, мес",,3 - 6,Бренд,,Ecosoft,Количество ступеней очистки,,1,Корпус картриджа,,Big Blue 10,"Максимальный наружный диаметр, мм",,115 ± 1,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,3 - 43,"Рекомендуемая скорость фильтрации, л/мин",,5,"Ресурс картриджей, л.",,25000,Способ очистки,,активированный уголь,Тип,,угольный,"Тонкость очистки, мкм",,10,"Высота, мм",,250 ± 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142911,Картридж для фильтра Ecosoft для  Ecosoft,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/kartridzh-ecosoft-dlya-ecosoft-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/kartridzh-ecosoft-dlya-ecosoft,142911,,,9002,,,,,,,Размер картриджа,,"2,5 x 10",Бренд,,Ecosoft,Корпус картриджа,,Slim 10,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,40,"Рабочее давление, атм",,2 / 6,"Ресурс картриджей, л.",,12,"Тонкость очистки, мкм",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142839,Комплект картриджей Наша Вода №5 для Родниковой Воды 2,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/komplekt-kartridzhej-nasha-voda-5-dlya-rodnikovoj-vodi-2-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/komplekt-kartridzhey-nasha-voda-5-dlya-rodnikovoy-vody-2,142839,,,9002,,,,,,,Назначение,,для проточной системы,Бренд,,Наша Вода,Вид картриджа,,универсальный,Производство,,Украина,Тип,,комплект фильтров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175242,Мембрана обратного осмоса DOW FILMTEC XLE-440 XLE440,,,r,30613,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/dow-filmtec-xle-440-xle440-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/dow/dow-filmtec-xle-440-xle440,175242,,,9002,,,,,,,Назначение,,для системы обратного осмоса,Бренд,,DOW,Диапазон pH,,2 - 11,Использование,,коммерческое,Максимальное значение SDI,,5,"Максимальное содержание свободного хлора, мг/л",,"<0,1",Подходит,,для холодной воды,"Производительность по пермиату, м3/сутки",,53,Производство,,США,"Рабочая температура воды, °C",,до 45,"Рабочее давление, атм",,8.6,"Стабилизированная селективность, %",,99,"Стабильное задержание солей, %",,99,Тип,,мембрана,Тип мембраны,,полиамидная тонкопленочная композитная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175546,"Картридж для фильтра Filter1 2,5""х10"" с полипропиленовой нити CPVN251010F1",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filter1-25h10-polproplenovo-nitki-cpvn251010f1-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/filter1/filter1-25h10-polproplenovo-nitki-cpvn251010f1,175546,,,9002,,,,,,,Назначение,,для магистрального фильтра,Эффективная очистка,,от механических загрязнений,Размер картриджа,,"2,5 x 10",Бренд,,Filter1,Количество ступеней очистки,,1,Корпус картриджа,,Slim 10,Подходит,,для холодной воды,Производство,,Украина,Способ очистки,,полипропиленовая нить,Тип,,механический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142967,Комплект картриджей Filter1 CPV3,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/komplekt-kartridzhej-filter1-cpv3-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/filter1/komplekt-kartridzhey-filter1-cpv3,142967,,,9002,,,,,,,Назначение,,для системы обратного осмоса,Бренд,,Filter1,Вид картриджа,,универсальный,Производство,,Украина,Тип,,комплект фильтров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175581,"Картридж для фильтра Наша Вода 4,5""х10"" из вспененного полипропилена CPV45105NV",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/nasha-voda-45h10-z-spnenogo-polproplenu-cpv45105nv-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/nasha-voda-45h10-z-spnenogo-polproplenu-cpv45105nv,175581,,,9002,,,,,,,Назначение,,для магистрального фильтра,Эффективная очистка,,от механических загрязнений,Размер картриджа,,"4,5 x 10",Бренд,,Наша Вода,Количество ступеней очистки,,1,Корпус картриджа,,Big Blue 10,Подходит,,для холодной воды,Производство,,Украина,Способ очистки,,полипропилен,Тип,,механический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141813,Мембрана обратного осмоса Ecosoft 50 GPD,,,r,534,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/membrana-ecosoft-50-gpd-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/membrana-ecosoft-50-gpd,141813,,,9002,,,,,,,"Гарантия, мес.",,12,"Производительность, л/день",,0.13,Подходит к таким фильтрам,,Ecosoft Standard MO550ECOSTD / Ecosoft Standard MO650MECOSTD / Ecosoft Standard MO550PECOSTD,Эффективная очистка,,от органических соединений / от вирусов и бактерий / от химических соединений,"Срок службы, мес",,1-1.5,Бренд,,Ecosoft,Вид,,универсальный,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,3 / 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142951,"Картридж для фильтра Ecosoft 4,5""х20""",,,r,239,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/kartridzh-iz-vspenennogo-polipropilena-ecosoft-45h20-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/kartridzh-iz-vspenennogo-polipropilena-ecosoft-45h20,142951,,,9002,,,,,,,Эффективная очистка,,от механических загрязнений,Бренд,,Ecosoft,Вид картриджа,,универсальный,Производство,,Украина,"Рабочая температура воды, °C",,5 / 30,"Ресурс картриджей, л.",,80000,Способ очистки,,полипропилен,Тип,,механический,"Тонкость очистки, мкм",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175573,"Картридж для фильтра Наша Вода 2,5""х10"" из вспененного полипропилена CPV251010NV",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/nasha-voda-25h10-z-spnenogo-polproplenu-cpv251010nv-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/nasha-voda-25h10-z-spnenogo-polproplenu-cpv251010nv,175573,,,9002,,,,,,,Назначение,,для магистрального фильтра,Эффективная очистка,,от механических загрязнений,Размер картриджа,,"2,5 x 10",Бренд,,Наша Вода,Количество ступеней очистки,,1,Корпус картриджа,,Slim 10,Подходит,,для холодной воды,Производство,,Украина,Способ очистки,,полипропилен,Тип,,механический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175595,Картридж для фильтра НАША ВОДА PD2010NV,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/nasha-voda-pd2010nv-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/nasha-voda-pd2010nv,175595,,,9002,,,,,,,Назначение,,для системы обратного осмоса,Бренд,,Наша Вода,Подходит,,для холодной воды,Производство,,Украина,Тип,,минерализатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142917,"Картридж для фильтра Ecosoft 2,5""х10""",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/kartridzh-ecosoft-25h10-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/kartridzh-ecosoft-25h10,142917,,,9002,,,,,,,Размер картриджа,,"2,5 x 10",Бренд,,Ecosoft,Вид картриджа,,универсальный,Корпус картриджа,,Slim 10,Подходит,,для холодной воды,Производство,,Украина,"Рабочая температура воды, °C",,3 / 43,"Ресурс картриджей, л.",,15000,Способ очистки,,активированный уголь,Тип,,угольный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142838,Комплект картриджей Наша Вода №5 для Родниковой Воды 3,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/komplekt-kartridzhej-nasha-voda-5-dlya-rodnikovoj-vodi-3-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/komplekt-nasha-voda-5-dlya-rodnikovoy-vody-3,142838,,,9002,,,,,,,Назначение,,для проточной системы,Бренд,,Наша Вода,Вид картриджа,,универсальный,Подходит,,для холодной воды,Производство,,Украина,Тип,,комплект фильтров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175582,"Картридж для фильтра Наша Вода 4,5""х20"" для удаления сероводорода CRVS4520NV",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/nasha-voda-45h20-dlya-vidalennya-srkovodnyu-crvs4520nv-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/nasha-voda-45h20-dlya-vidalennya-srkovodnyu-crvs4520nv,175582,,,9002,,,,,,,Назначение,,для магистрального фильтра,Эффективная очистка,,от железа / от хлора / от сероводорода / от механических загрязнений,Размер картриджа,,"4,5 x 20",Бренд,,Наша Вода,Количество ступеней очистки,,1,Корпус картриджа,,Big Blue 20,Подходит,,для холодной воды,Производство,,Украина,Способ очистки,,активированный уголь,Тип,,угольный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142968,Комплект картриджей Filter1 CPV3 для обратного осмоса,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/komplekt-kartridzhej-filter1-cpv3-dlya-obratnogo-osmosa-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/filter1/komplekt-filter1-cpv3-dlya-obratnogo-osmosa,142968,,,9002,,,,,,,Назначение,,для системы обратного осмоса,Бренд,,Filter1,Вид картриджа,,универсальный,Подходит,,для холодной воды,Производство,,Украина,Тип,,комплект фильтров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175131,Робот-пылесос для Бассейна BWT B100 1016500,,,r,48450,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-b100-1016500-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-b100-1016500,175131,,,9014,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175132,Робот-пылесос для Бассейна BWT B200 1016600,,,r,50550,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-b200-1016600-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-b200-1016600,175132,,,9014,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175152,Робот-пылесос для Бассейна BWT D200 1016200,,,r,59550,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-d200-1016200-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-d200-1016200,175152,,,9014,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175153,Робот-пылесос для Бассейна BWT D300 1016300,,,r,66850,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-d300-1016300-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-d300-1016300,175153,,,9014,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175479,Реагент Ecosoft RoClean L 403 L403,,,r,13831,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-roclean-l-403-l403-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-roclean-l-403-l403,175479,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175181,Химический препарат для дозирования BWT RONDOPHOS PIK 5 6-603110,,,r,2880,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-rondophos-pik-5-6-603110-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-rondophos-pik-5-6-603110,175181,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175481,Реагент Ecosoft RoClean Р 111 P111,,,r,15517,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-roclean-r-111-p111-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-roclean-r-111-p111,175481,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175182,Химический препарат для дозирования BWT RONDOPHOS PIK 9 6-603221,,,r,6650,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-rondophos-pik-9-6-603221-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-rondophos-pik-9-6-603221,175182,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175482,Реагент Ecosoft RoClean Р 303 P303,,,r,15517,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-roclean-r-303-p303-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-roclean-r-303-p303,175482,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175189,Реагент BWT SoluTECH FULL PROTECTION C0007407UA,,,r,379,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-solutech-full-protection-c0007407ua-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-solutech-full-protection-c0007407ua,175189,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175504,Реагент Ecosoft VITEC 3000 VI300023,,,r,8922,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-vitec-3000-vi300023-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-vitec-3000-vi300023,175504,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175191,Реагент BWT SoluTECH LEAK PREVENTER C0007471UA,,,r,569,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-solutech-leak-preventer-c0007471ua-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-solutech-leak-preventer-c0007471ua,175191,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175505,Реагент Ecosoft VITEC 4000 VI400023,,,r,14586,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-vitec-4000-vi400023-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-vitec-4000-vi400023,175505,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175192,Реагент BWT SoluTECH SYSTEM CLEANER C0007472UA,,,r,316,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-solutech-system-cleaner-c0007472ua-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-solutech-system-cleaner-c0007472ua,175192,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175129,"Набор для определения общей жесткости BWT AQUATEST, (1-40 °d) 18997",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-aquatest-1-40-d-18997-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-aquatest-1-40-d-18997,175129,,,9016,,,,,,,Бренд,,BWT,Тип,,набор для определения общей жесткости,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
