,"Влагозащищенные щиты IP65, IP66",9083,,9077,,,
,Hager - Vega,9084,,9077,,,
,Hager - FW Univers IP44 (от 36 до 216 модулей),9085,,9077,,,
,Металлические щиты,9086,,9077,,,
,Щиты для счетчика,9087,,9077,,,
,"Ящики ЯРП, ЯПРП",9088,,9077,,,
,Кросс-модули и комплектующие к щитам,9089,,9077,,,
,"Кабель, провод",9090,,,,,
,"Прокладка кабеля, все для монтажа, инструмент",9091,,,,,
,"Подрозетники, коробки",9092,,9091,,,
,Гофротруба (гофра),9093,,9091,,,
,Металлорукав,9094,,9091,,,
,Шины соединительные (гребенки),9095,,9091,,,
,Клеммы Wago,9096,,9091,,,
,"Клеммы на din-рейку, клеммные колодки",9097,,9091,,,
,Термоусадочная трубка,9098,,9091,,,
,Кабельные наконечники,9099,,9091,,,
,Кабельные вводы PG (сальники),9100,,9091,,,
,"Кабельные стяжки (хомуты), дюбеля",9101,,9091,,,
,Изолента,9102,,9091,,,
,Арматура для СИП,9103,,9091,,,
,"Короб, кабель-канал",9104,,9091,,,
,Труба ПВХ гладкая,9105,,9091,,,
,Электромонтажный инструмент,9106,,9091,,,
,Кабельные маркеры,9107,,9091,,,
,Вилки и розетки силовые,9108,,9091,,,
,Ленты сигнальные,9109,,9091,,,
,Спиральные обвязки,9110,,9091,,,
,Автоматические выключатели,9111,,,,,
,Автоматические выключатели ABB,9112,,9111,,,
,Автоматические выключатели Eaton (Moeller),9113,,9111,,,
,Автоматические выключатели Hager,9114,,9111,,,
,Автоматические выключатели Legrand,9115,,9111,,,
,Автоматические выключатели Schneider Electric,9116,,9111,,,
,Автоматические выключатели ETI,9117,,9111,,,
,Автоматические выключатели IEK (ИЭК),9118,,9111,,,
,Автоматические выключатели E.NEXT,9119,,9111,,,
,Силовые автоматические выключатели до 1600А,9120,,9111,,,
,Автоматы защиты двигателя,9121,,9111,,,
,Предохранители,9122,,9111,,,
,Аксессуары для модульных приборов,9123,,9111,,,
,Разрядники,9124,,9111,,,
,Однофазные автоматические выключатели,9125,,9111,,,
,Трехфазные автоматические выключатели,9126,,9111,,,
,УЗО (дифреле),9127,,,,,
,Дифавтоматы,9128,,,,,
,Оборудование управления и коммутации,9129,,,,,
,Реле Finder,9130,,9129,,,
,Рубильники перекидные,9131,,9129,,,
,Контакторы,9132,,9129,,,
,Реле,9133,,9129,,,
,Реле напряжения,9134,,9129,,,
,Импульсные реле,9135,,9129,,,
,"Таймеры, реле времени",9136,,9129,,,
,Индикаторы,9137,,9129,,,
,Датчики движения и присутствия,9138,,9129,,,
,"Выключатели нагрузки, разъединители",9139,,9129,,,
,Кнопочные выключатели,9140,,9129,,,
,Сумеречные реле,9141,,9129,,,
,"Трансформаторы на дин-рейку, блоки питания",9142,,9129,,,
,Модульные диммеры на дин-рейку,9143,,9129,,,
,Розетки на дин-рейку,9144,,9129,,,
,Термостаты,9145,,9129,,,
,Преобразователи частоты,9146,,9129,,,
,Звонки и зуммеры,9147,,9129,,,
,Электро измерительные приборы,9148,,9129,,,
,Система дистанционного управления,9149,,9129,,,
,Теплый пол,9150,,,,,
,Конвекторы,9151,,,,,
,Электрооборудование для дома,9152,,,,,
,Счетчики электроэнергии,9153,,9152,,,
,"Видеодомофоны, беспроводные звонки",9154,,9152,,,
,Зарядки для электромобилей,9155,,9152,,,
,Беспроводные зарядки Qi для телефонов,9156,,9152,,,
,"ИБП, инверторы, аккумуляторы",9157,,9152,,,
,"Антиобледенение, обогрев труб",9158,,,,,
,"Лампы, светильники",9159,,,,,
,Заземление и молниезащита,9160,,,,,
